AQW00061705         541C   497C   552C   522C   519C   479C   473C   474C   480C   507C   508C   538C
USC00207364           0R     0R     0R -7777R     6R    33R    80R    57R    13R     1R     0R     0R
USC00207515           0R     0R     0R -7777R    12R    67R   137R   101R    28R     1R     0R     0R
USC00207684           0Q     0Q     0Q     1Q    18Q    85Q   139Q    92Q    29Q     5Q     0Q     0Q
USC00207690           0S -7777S -7777S     4S    29S   124S   228S   207S    83S    10S -7777S     0S
USC00207812           0S     0S     0S     1C     6C    31C    60C    38C    10S -7777C     0S     0S
USC00207820           0S -7777S -7777C     2S    14C    71S   129S    92S    26S     3S -7777C     0S
USC00207867           0S     0S -7777S     1S    10S    56S   110R    80S    22S     1S     0S     0S
USC00208043           0S     0S     0S -7777S     5S    29S    57S    45S    12S     1S     0R     0S
USC00208080           0Q     0Q     0Q     2Q    27Q   141Q   217Q   167Q    49Q     6Q     0Q     0Q
USC00208184           0C -7777C -7777C     6S    41S   155S   232S   179C    67C     6C -7777C     0S
USC00208202           0Q     0Q -7777Q     2Q    28Q   128Q   201Q   164Q    52Q     7Q -7777Q     0Q
USC00208249           0Q     0Q     0Q     1Q    16Q    84Q   165Q   116Q    35Q     7Q -7777Q     0Q
USC00208293           0S     0S     0S -7777R     6R    33R    71S    62S    14S     1S     0S     0S
USC00208345           0Q     0Q     0Q     0Q     5Q    11Q    64Q    56Q    13Q -7777Q     0Q     0Q
USC00208417           0S     0S -7777S     3S    15S    60S    99S    64S    19S     2S     0S     0S
USC00208443           0Q     0Q     0Q     1Q    19Q    87Q   135Q   105Q    31Q     5Q -7777Q     0Q
USC00208680           0R     0R     0R     1R     8R    41R    71R    55R    16R -7777R     0R     0R
USC00208706           0Q     0Q     0Q -7777Q     6Q    31Q    62Q    44Q    14Q     1Q     0Q     0Q
USC00208774           0Q     0Q     0Q     1Q    20Q    90Q   149Q   110Q    42Q     6Q     0Q     0Q
USC00208800           0C     0C -7777C     2C    15C    68C   123S    90C    22C     2C     0C     0C
USC00208920           0S     0S     0S     0S -7777S    10S    41S    55S    16S -7777S     0S     0S
USC00208941           0R     0R -7777R     3R    23R    97R   145R   125R    37R     6R     0R     0R
USC00208972           0Q     0Q     0Q     1Q    11Q    94Q   161Q   127Q    35Q     5Q     0Q     0Q
USC00209188           0Q     0Q     0Q -7777Q     8Q    84Q   148Q   100Q    27Q     4Q -7777Q     0Q
USC00210018           0S     0S -7777S     2R    20S    91S   171S   145S    34S     1S -7777S     0S
USC00210050           0S     0S -7777S     1S    23R    90R   171R   135R    31R     2S     0S     0S
USC00210059           0R     0R     0R     1R     8R    51R   116R    78R    14R -7777S -7777S     0S
USC00210075           0C -7777C -7777S     3C    29S   138C   225C   164C    52C     5C -7777C     0C
USC00210157           0R     0R -7777R     5R    50R   176R   257R   184R    67R    10R -7777R     0R
USC00210190           0Q     0Q     0Q     0Q    14Q    92Q   178Q   138Q    34Q     3Q     0Q     0Q
USC00210252           0C     0C -7777C     1C    14C    67C   126C   110C    24C     1C     0C     0C
USC00210287           0C     0C -7777C     3C    31C   116C   211C   158C    47C     4C -7777C     0S
USC00210355           0C     0S -7777S     3S    25S   125S   190S   138S    45S     4C -7777C     0C
USC00210387           0R     0R     0R -7777R     7R    39R    98R    59R    14R -7777R     0R     0R
USC00210515           0R     0R     0R     1R    11R    70R   139S   109S    19R     1R     0R     0R
USC00210564           0Q     0Q     0Q     0Q -7777Q    11Q    72Q    43Q     7Q     0Q     0Q     0Q
USC00210643           0R     0R     0R -7777R     9R    54R   115R    81R    15R -7777R     0R     0R
USC00210667           0S     0S -7777S     3S    31S   122S   211S   155S    45S     3S -7777S     0S
USC00210746           0R     0R     0R     1S    15S    56R   115R    90S    21R     1R -7777R     0R
USC00210809           0R     0R     0R     1R     7R    39R    96R    69R    13R -7777R     0R     0R
USC00210939           0C     0C     0C     1C    15C    70S   145C   102C    21C     1S -7777C     0C
USC00210973           0Q     0Q     0Q     1Q    22Q   113Q   234Q   178Q    41Q     2Q     0Q     0Q
USC00210989           0R     0R     0R -7777R     5R    23R    57R    41R     8R -7777R     0R     0R
USC00211063           0S     0S -7777S     2S    25S   105S   211S   160S    41R     3S -7777R     0S
USC00211065           0Q     0Q -7777Q -7777Q    31Q   121Q   220Q   152Q    42Q     4Q     0Q     0Q
USC00211074           0R     0R     0R -7777R    11R    40R   100R    72R    16R     1R     0R     0R
USC00211107           0S     0S -7777R     3R    25S   119S   211S   151S    40S     3S -7777S     0S
USC00211174           0R     0R -7777R     1R    22R   101R   181R   124R    36R     4R     0R     0R
USC00211198           0S -7777S -7777S     3S    21S   110S   192S   142S    40S     4C -7777C     0C
USC00211227           0R     0R -7777R     3R    25R   108R   194R   141R    32R     2R -7777R     0R
USC00211245           0R     0R     0R     3R    28R   101R   193R   150R    34R     2R -7777R     0R
USC00211250           0Q     0Q     0Q -7777Q     5Q    42Q   100Q    82Q    19Q -7777Q     0Q     0Q
USC00211263           0C -7777C -7777C     4C    35C   138S   247C   189C    57C     4C -7777C     0C
USC00211374           0S     0C     0S     1C    13C    65C   130C   101S    22C     1S     0S     0S
USC00211390           0R     0R -7777R     5R    30R   107R   195R   143R    44R     3R -7777R     0R
USC00211448           0R     0R     0R     3R    30R   127R   225R   168R    47R     5R     0R     0R
USC00211465           0R     0R -7777R     6R    45R   171R   280R   213R    75R     6R -7777R     0R
USC00211468           0Q     0Q     0Q     1Q    28Q   114Q   217Q   152Q    41Q     6Q     0Q     0Q
USC00211630           0C     0C     0C -7777C     6C    38C   106S    83S    19C -7777C     0C     0C
USC00211691           0C     0C -7777C     3C    33C   128C   238C   178C    52C     4C -7777C     0S
USC00211771           0Q     0Q     0Q -7777Q     7Q    42Q   105Q    73Q    17Q -7777Q     0Q     0Q
USC00211776           0R     0R     0R     1R    11R    50R   103R    80R    13R -7777R -7777R     0R
USC00211840           0R     0R     0R -7777R     6R    31R    68R    49R    10R -7777R     0R     0R
USC00211891           0C     0C     0S     2S    20C    85S   155S   128S    28S     1C     0C     0C
USC00212015           0Q     0Q     0Q -7777Q    20Q    91Q   216Q   178Q    47Q -7777Q     0Q     0Q
USC00212023           0Q     0Q     0Q     1Q    32Q   130Q   255Q   192Q    47Q     3Q     0Q     0Q
USC00212050           0R     0S     0S     2R    18R    69R   142R   111R    26R     1S     0R     0R
USC00212088           0R     0R -7777R     2R    30R   121R   218R   146R    37R     4R -7777R     0R
USC00212142           0R     0R     0R     2R    26R   109R   196R   171R    44R     1R -7777S     0R
USC00212246           0R     0R     0R -7777R     1R    19R    85R    78R    10R -7777R     0R     0R
USC00212500           0Q     0Q     0Q     1Q    21Q   124Q   248Q   171Q    41Q     1Q     0Q     0Q
USC00212543           0R     0R     0R -7777R     6R    40R    97R    69R    15R -7777R     0R     0R
USC00212555           0Q     0Q     0Q -7777Q     5Q    35Q    98Q    76Q    18Q -7777Q     0Q     0Q
USC00212576           0R     0R     0R -7777R     3R    18R    38R    26R     5R -7777R     0R     0R
USC00212645           0R     0R     0R -7777R     9R    43R    93R    63R    11R -7777R     0R     0R
USC00212698           0C     0C -7777C     4S    41C   166C   265C   205C    66C     6C -7777C     0S
USC00212721           0S     0S -7777C     4C    27S   125S   205S   147C    46S     4S -7777S     0S
USC00212737           0S -7777S -7777S     5S    35S   141S   230S   166S    55S     5S -7777S     0S
USC00212768           0R     0R -7777R     2R    24R    98R   185R   152R    40R     3R -7777R     0R
USC00212842           0R     0R     0R -7777R     8R    31R    76R    54R    10R -7777R     0R     0R
USC00212881           0S     0C -7777C     3C    27C   127S   216S   167S    46S     4S -7777C     0S
USC00212916           0S     0S     0S     1S    15S    56S   110S    83S    19R     1S -7777S     0S
USC00213076           0S     0S -7777S     4S    32S   137S   235S   164C    42C     3C -7777C     0S
USC00213104           0S     0S     0S     4S    29S   107S   191S   157S    41S     3S -7777S     0S
USC00213174           0S     0C -7777C     3C    26C   102C   198C   156C    41C     3C -7777C     0C
USC00213282           0C     0C     0C     0C -7777S     3S    31C    39C     5C -7777C     0C     0C
USC00213290           0S     0S -7777S     2S    19S   101S   159S   114S    34S     3S -7777S     0S
USC00213296           0R     0R     0R -7777R -7777R     7R    36R    35R     3R     0R     0R     0R
USC00213303           0C     0C -7777C     1C    13C    63C   131C    97C    19C -7777C -7777C     0C
USC00213311           0Q     0Q     0Q -7777Q    25Q   106Q   221Q   161Q    40Q     3Q     0Q     0Q
USC00213411           0S     0S     0S     1S    15S    71S   157S   113S    22S -7777S     0S     0S
USC00213417           0R     0R     0R -7777R     5R    28R    74R    54R     9R -7777R     0R     0R
USC00213455           0R     0R     0R     2R    17R    86R   136R   118R    19R -7777R     0R     0R
USC00213567           0R     0R -7777R     3R    28R   132R   233R   178R    51R     5R -7777R     0R
USC00213793           0R     0S     0S -7777S    10S    58S   122S    84S    19R     1S     0S     0R
USC00213962           0S -7777S -7777S     4S    33S   135S   227S   156S    49S     4S -7777S     0S
USC00214103           0S     0S     0R -7777R     9S    57S   122S    84S    18S     1S -7777S     0S
USC00214106           0S     0S     0S -7777S     9S    50S   102S    81S    14S -7777S     0S     0S
USC00214176           0R     0R -7777R     4R    26S   114R   189R   131S    40S     4S -7777R     0S
USC00214191           0Q     0Q     0Q -7777Q     4Q    37Q    74Q    60Q    13Q -7777Q     0Q     0Q
USC00214306           0R     0R     0R -7777R     6R    33R    88R    76R    11R -7777R     0R     0R
USC00214373           0Q     0Q     0Q     0Q    11Q    73Q   159Q   122Q    20Q     1Q     0Q     0Q
USC00214453           0R     0R     0R     2R    33R   116R   199R   137R    38R     5R     0R     0R
USC00214534           0S -7777S -7777S     4S    30S   128S   222S   166S    52S     4S -7777S     0S
USC00214546           0S     0S -7777S     4S    39S   144S   223S   159S    52S     5S -7777S     0S
USC00214652           0S     0S     0C     1S    12C    66S   137S   101C    20C -7777C     0C     0S
USC00214778           0S     0S -7777S     3S    28S   123S   217S   153S    39S     2S -7777S     0S
USC00214793           0C     0C -7777S     2S    29S   111S   219C   170C    45C     3C -7777C     0C
USC00214809           0R     0R     0R -7777R     7R    41R    89R    62R    13R -7777R     0R     0R
USC00214861           0S     0S     0S     1S    15S    85S   153S   113S    25S     1S     0S     0S
USC00214884           0R     0R     0R     4R    54R   196R   332R   268R    89R     7R     0R     0R
USC00214918           0R     0R     0R -7777R     2R    15R    43R    26R     3R     0R     0R     0R
USC00214937           0R     0R -7777R     5R    37R   148R   243R   187R    61R     5R -7777R     0R
USC00214994           0C     0C -7777S     4S    35S   141S   240S   171S    50S     4S -7777S     0S
USC00215012           0R     0R     0R     2R    22R    78R   152R   135R    36R     3R -7777R     0R
USC00215073           0R     0R -7777R     5R    39R   141R   231R   176R    55R     7R -7777R     0R
USC00215175           0R     0R     0R -7777R     7R    41R    89R    70R    11R -7777R     0R     0R
USC00215204           0S     0S -7777S     4S    37S   143S   239S   183S    58S     6S -7777S     0S
USC00215325           0R     0S -7777S     1R    22S    91S   169S   119S    30S     1S     0S     0S
USC00215392           0S     0S -7777S     2S    15S    85S   157S   107S    23S     1S     0S     0S
USC00215400           0S     0S -7777S     6S    46S   153S   246S   189S    65S     7S -7777S     0S
USC00215563           0R     0R -7777R     3R    33R   120R   215R   160R    44R     3R -7777S     0R
USC00215586           0R     0R -7777R     2R    30R   112R   216R   182R    47R     2R     0R     0R
USC00215598           0S     0S     0S -7777S     9S    56S   140S   115S    27S     1S     0S     0S
USC00215615           0R     0R     0R     1R    18R    84R   158R   114R    30R     2R -7777R     0R
USC00215638           0C     0C -7777C     2C    28C   108C   184C   136C    38S     3S -7777C     0C
USC00215838           0R     0R     0R     5R    34R   134R   249R   181R    53R     5R     0R     0R
USC00215842           0S     0S -7777S     4S    36S   132S   232S   177S    54S     4S -7777S     0S
USC00215887           0S     0S -7777S     5S    40S   156S   256S   188S    60S     5S -7777S     0S
USC00215902           0Q     0Q     0Q -7777Q    10Q    64Q   155Q   106Q    23Q     1Q     0Q     0Q
USC00215989           0Q     0Q     0Q     0Q     1Q    22Q    85Q    64Q    12Q -7777Q     0Q     0Q
USC00216148           0R     0R     0R     1R    16R    68R   132R   111R    16R -7777R     0R     0R
USC00216152           0S     0S -7777S     3S    32S   128S   207S   145S    41S     3S -7777S     0S
USC00216211           0Q     0Q     0Q     0Q     2Q     5Q    34Q    37Q    15Q     0Q     0Q     0Q
USC00216228           0Q     0Q     0Q     1Q    23Q   114Q   198Q   172Q    42Q     1Q -7777Q     0Q
USC00216276           0S     0S     0S     1S    20S   107S   191R   152R    36R     1S -7777S     0R
USC00216287           0S -7777S -7777S     4S    33S   141S   225S   169S    57S     6S -7777S     0S
USC00216547           0S     0S     0S     1S    15S    73S   155S   110S    22S -7777S -7777S     0S
USC00216565           0S -7777S -7777S     4S    29S   119S   215S   165S    51S     3C -7777S     0S
USC00216612           0Q     0Q     0Q -7777Q    13Q    60Q   124Q    97Q    21Q -7777Q     0Q     0Q
USC00216654           0S -7777S -7777S     5S    23S   114S   197S   155S    52S     5S -7777S     0S
USC00216787           0S     0S     0S     2S    17S    74S   139S   117S    24S     1S -7777S     0S
USC00216795           0S     0S     0S     1S    14S    70S   143R   114R    24R     1R     0R     0R
USC00216822           0R     0R -7777R     4R    32R   131R   236R   177R    59R     6R -7777R     0R
USC00216839           0Q     0Q     0Q -7777Q    17Q   112Q   236Q   184Q    35Q     3Q     0Q     0Q
USC00216920           0Q     0Q     0Q -7777Q    16Q    83Q   169Q   118Q    34Q     1Q     0Q     0Q
USC00217087           0R     0R     0R     1R    12R    57R   111R    87R    18R -7777R     0R     0R
